episodio,anime,temporada,modeloLlm,totalLinhas,falasTraduzidas,falasDoCache,tempoTotalMs,quantidadeAvisos,registradoEm
Mobile.Suit.Gundam.The.08th.MS.Team.S01E10_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,262,261,0,109101,9,2026-08-16T10:22:52.427201500Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E11_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,245,242,0,90876,2,2026-08-16T10:24:23.321249Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E12_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,287,280,0,104265,7,2026-08-16T10:26:07.599925300Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E01_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,341,330,0,144218,2,2026-08-16T10:41:46.843253Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_5_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,23,19,0,11312,2,2026-08-16T10:41:58.172618600Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E02_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,340,329,0,128654,2,2026-08-16T10:44:06.840429900Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E03-5_Track2.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,78,78,0,44062,0,2026-08-16T10:44:50.934963500Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E03_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,311,301,0,117058,1,2026-08-16T10:46:48.010006100Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E04_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,352,340,0,143862,0,2026-08-16T10:49:11.890613800Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E05_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,372,365,0,148165,1,2026-08-16T10:51:40.072479Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E06_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,285,281,0,109449,1,2026-08-16T10:53:29.534583200Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E07_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,323,313,0,118238,6,2026-08-16T10:55:27.791007500Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E08_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,367,359,0,138795,1,2026-08-16T10:57:46.601297600Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E09_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,280,276,0,116725,0,2026-08-16T10:59:43.345451500Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E10_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,242,238,0,93299,0,2026-08-16T11:01:16.657614200Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E11_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,301,297,0,120056,0,2026-08-16T11:03:16.734599200Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E12_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,229,227,0,86334,0,2026-08-16T11:04:43.080175800Z
Mobile Suit Gundam 0083 - Stardust Memory - S01E13_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,217,209,0,75969,2,2026-08-16T11:05:59.064618700Z
Guilty Crown - 01_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,188,185,0,64697,1,2026-08-16T11:52:07.116877600Z
Guilty Crown - 02_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,251,250,0,100047,6,2026-08-16T11:53:47.183485500Z
Guilty Crown - 03_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,330,318,0,132854,12,2026-08-16T11:56:00.054947800Z
Guilty Crown - 04_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,253,250,0,93445,2,2026-08-16T11:57:33.523169200Z
Guilty Crown - 05_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,252,246,0,88891,9,2026-08-16T11:59:02.440561500Z
Guilty Crown - 06_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,245,241,0,85543,3,2026-08-16T12:00:28.009778Z
Guilty Crown - 07_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,293,285,0,109457,5,2026-08-16T12:02:17.481179Z
Guilty Crown - 08_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,260,258,0,86010,8,2026-08-16T12:03:43.504497800Z
Guilty Crown - 09_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,236,228,0,75405,2,2026-08-16T12:04:58.924034800Z
Guilty Crown - 10_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,254,240,0,77646,5,2026-08-16T12:06:16.592837Z
Guilty Crown - 11_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,255,248,0,84162,5,2026-08-16T12:07:40.769676600Z
Guilty Crown - 12_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,239,231,0,74069,6,2026-08-16T12:08:54.850821300Z
Guilty Crown - 13_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,326,319,0,121460,19,2026-08-16T12:10:56.326341200Z
Guilty Crown - 14_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,327,318,0,123731,10,2026-08-16T12:13:00.078784900Z
Guilty Crown - 15_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,274,265,0,88861,6,2026-08-16T12:14:28.966303400Z
Guilty Crown - 16_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,296,291,0,113773,15,2026-08-16T12:16:22.750189700Z
Guilty Crown - 17_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,230,224,0,78545,5,2026-08-16T12:17:41.314328100Z
Guilty Crown - 18_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,204,193,0,55424,0,2026-08-16T12:18:36.752784300Z
Guilty Crown - 19_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,264,256,0,79767,6,2026-08-16T12:19:56.535070900Z
Guilty Crown - 20_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,289,285,0,101168,7,2026-08-16T12:21:37.718968600Z
Guilty Crown - 21_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,218,217,0,75137,3,2026-08-16T12:22:52.874722400Z
Guilty Crown - 22_Track4.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,236,226,0,59939,1,2026-08-16T12:23:52.827582500Z
Guilty Crown OVA - 01_Track2.ass,[Anime Time] Guilty Crown + OVA [BD][Dual Audio][1080p][HEVC 10bit x265][Opus][Eng Sub],Temporada Única,aya-expanse-8b,98,97,0,34071,2,2026-08-16T12:24:26.911431200Z
Mobile.Suit.Gundam.ZZ.S01E01_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,aya-expanse-8b,301,295,0,96661,11,2026-08-12T12:09:43.422608Z
Mobile.Suit.Gundam.ZZ.S01E02_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,aya-expanse-8b,289,285,0,75794,2,2026-08-12T12:10:59.234868600Z
Mobile.Suit.Gundam.ZZ.S01E03_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,335,325,0,299962,5,2026-08-08T21:28:11.480663200Z
Mobile.Suit.Gundam.ZZ.S01E04_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,359,349,0,318844,5,2026-08-08T21:33:30.332969400Z
Mobile.Suit.Gundam.ZZ.S01E05_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,379,361,0,320006,7,2026-08-08T21:38:50.347409700Z
Mobile.Suit.Gundam.ZZ.S01E06_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,340,325,0,286053,5,2026-08-08T21:43:36.408875100Z
Mobile.Suit.Gundam.ZZ.S01E07_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,330,319,0,285009,6,2026-08-08T21:48:21.425720600Z
Mobile.Suit.Gundam.ZZ.S01E08_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,363,349,0,310506,3,2026-08-08T21:53:31.939128400Z
Mobile.Suit.Gundam.ZZ.S01E09_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,385,372,0,332002,0,2026-08-08T21:59:03.949689300Z
Mobile.Suit.Gundam.ZZ.S01E10_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,378,370,0,340144,2,2026-08-08T22:04:44.101054300Z
Mobile.Suit.Gundam.ZZ.S01E11_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,373,366,0,297526,6,2026-08-08T22:09:41.635123900Z
Mobile.Suit.Gundam.ZZ.S01E12_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,374,362,0,326840,8,2026-08-08T22:15:08.484016700Z
Mobile.Suit.Gundam.ZZ.S01E13_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,399,378,0,327741,5,2026-08-08T22:20:36.234646700Z
Mobile.Suit.Gundam.ZZ.S01E14_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,408,395,0,332851,4,2026-08-08T22:26:09.094900300Z
Mobile.Suit.Gundam.ZZ.S01E15_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,381,366,0,329255,7,2026-08-08T22:31:38.356300400Z
Mobile.Suit.Gundam.ZZ.S01E16_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,,0,0,0,0,1,2026-08-08T22:32:04.247227600Z
Mobile.Suit.Gundam.ZZ.S01E17_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,371,359,0,294668,3,2026-08-08T22:36:58.925109800Z
Mobile.Suit.Gundam.ZZ.S01E18_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,356,340,0,303170,6,2026-08-08T22:42:02.102464200Z
Mobile.Suit.Gundam.ZZ.S01E19_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,369,353,0,301407,3,2026-08-08T22:47:03.517910500Z
Mobile.Suit.Gundam.ZZ.S01E20_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,480,458,0,416911,6,2026-08-08T22:54:00.436959600Z
Mobile.Suit.Gundam.ZZ.S01E21_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,391,370,0,326010,7,2026-08-08T22:59:26.455685700Z
Mobile.Suit.Gundam.ZZ.S01E22_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,385,365,0,312088,3,2026-08-08T23:04:38.550754300Z
Mobile.Suit.Gundam.ZZ.S01E23_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,361,348,0,312720,4,2026-08-08T23:09:51.279887400Z
Mobile.Suit.Gundam.ZZ.S01E24_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,381,362,0,326371,5,2026-08-08T23:15:17.660464400Z
Mobile.Suit.Gundam.ZZ.S01E25_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,311,285,0,252192,2,2026-08-08T23:19:29.860230700Z
Mobile.Suit.Gundam.ZZ.S01E26_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,374,350,0,303728,5,2026-08-08T23:24:33.596775200Z
Mobile.Suit.Gundam.ZZ.S01E27_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,300,281,0,261583,3,2026-08-08T23:28:55.186760900Z
Mobile.Suit.Gundam.ZZ.S01E28_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,333,306,0,265939,7,2026-08-08T23:33:21.134433300Z
Mobile.Suit.Gundam.ZZ.S01E29_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,348,335,0,307310,7,2026-08-08T23:38:28.452899300Z
Mobile.Suit.Gundam.ZZ.S01E30_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,387,367,0,323751,7,2026-08-08T23:43:52.211592200Z
Mobile.Suit.Gundam.ZZ.S01E31_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,323,314,0,307139,12,2026-08-08T23:48:59.358376900Z
Mobile.Suit.Gundam.ZZ.S01E32_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,316,303,0,284590,2,2026-08-08T23:53:43.956997100Z
Mobile.Suit.Gundam.ZZ.S01E33_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,413,393,0,341885,4,2026-08-08T23:59:25.850320100Z
Mobile.Suit.Gundam.ZZ.S01E34_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,378,364,0,305879,2,2026-08-09T00:04:31.741888800Z
Mobile.Suit.Gundam.ZZ.S01E35_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,307,292,0,277366,5,2026-08-09T00:09:09.116802900Z
Mobile.Suit.Gundam.ZZ.S01E36_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,290,283,0,241859,6,2026-08-09T00:13:10.983637700Z
Mobile.Suit.Gundam.ZZ.S01E37_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,381,368,0,344659,5,2026-08-09T00:18:55.652894700Z
Mobile.Suit.Gundam.ZZ.S01E38_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,389,374,0,333677,3,2026-08-09T00:24:29.337245200Z
Mobile.Suit.Gundam.ZZ.S01E39_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,331,324,0,289724,2,2026-08-09T00:29:19.069692900Z
Mobile.Suit.Gundam.ZZ.S01E40_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,411,393,0,332584,4,2026-08-09T00:34:51.661707600Z
Mobile.Suit.Gundam.ZZ.S01E41_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,306,287,0,235593,4,2026-08-09T00:38:47.266239500Z
Mobile.Suit.Gundam.ZZ.S01E42_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,414,385,0,318996,6,2026-08-09T00:44:06.273668600Z
Mobile.Suit.Gundam.ZZ.S01E43_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,378,362,0,306545,3,2026-08-09T00:49:12.827739600Z
Mobile.Suit.Gundam.ZZ.S01E44_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,329,319,0,292407,4,2026-08-09T00:54:05.243454100Z
Mobile.Suit.Gundam.ZZ.S01E45_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,293,284,0,270010,3,2026-08-09T00:58:35.270754900Z
Mobile.Suit.Gundam.ZZ.S01E46_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,331,320,0,274617,5,2026-08-09T01:03:09.895090600Z
Mobile.Suit.Gundam.ZZ.S01E47_ENG.ass,Mobile Suit Gundam ZZ,Temporada Única,mistralai/mistral-nemo-instruct-2407,249,231,0,202252,4,2026-08-09T01:06:32.161108400Z
Mobile Suit Zeta Gundam - S01E01_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,207,188,0,99463,0,2026-08-16T01:01:23.998562800Z
Mobile Suit Zeta Gundam - S01E02_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,301,294,0,140954,4,2026-08-16T01:03:44.972173900Z
Mobile Suit Zeta Gundam - S01E03_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,356,351,0,164559,2,2026-08-16T01:06:29.543922200Z
Mobile Suit Zeta Gundam - S01E04_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,318,312,0,140449,3,2026-08-16T01:08:50.010072100Z
Mobile Suit Zeta Gundam - S01E05_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,309,298,0,145161,1,2026-08-16T01:11:15.186097100Z
Mobile Suit Zeta Gundam - S01E06_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,344,335,0,147071,3,2026-08-16T01:13:42.270384100Z
Mobile Suit Zeta Gundam - S01E07_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,303,301,0,138323,2,2026-08-16T01:16:00.618789800Z
Mobile Suit Zeta Gundam - S01E08_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,294,288,0,134935,2,2026-08-16T01:18:15.567229Z
Mobile Suit Zeta Gundam - S01E09_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,349,341,0,154868,8,2026-08-16T01:20:50.448420400Z
Mobile Suit Zeta Gundam - S01E10_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,308,292,0,129383,5,2026-08-16T01:22:59.851604200Z
Mobile Suit Zeta Gundam - S01E11_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,364,353,0,141229,1,2026-08-16T01:25:21.093454800Z
Mobile Suit Zeta Gundam - S01E12_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,303,295,0,115273,1,2026-08-16T01:27:16.385497600Z
Mobile Suit Zeta Gundam - S01E13_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,349,336,0,144200,4,2026-08-16T01:29:40.628284900Z
Mobile Suit Zeta Gundam - S01E14_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,278,271,0,106333,1,2026-08-16T01:31:26.975556200Z
Mobile Suit Zeta Gundam - S01E15_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,356,344,0,137749,3,2026-08-16T01:33:44.746346400Z
Mobile Suit Zeta Gundam - S01E16_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,382,366,0,140542,3,2026-08-16T01:36:05.304548500Z
Mobile Suit Zeta Gundam - S01E17_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,333,317,0,118357,2,2026-08-16T01:38:03.673550500Z
Mobile Suit Zeta Gundam - S01E18_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,386,366,0,142189,6,2026-08-16T01:40:25.875070300Z
Mobile Suit Zeta Gundam - S01E19_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,321,305,0,104055,1,2026-08-16T01:42:09.942519900Z
Mobile Suit Zeta Gundam - S01E20_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,356,334,0,125542,0,2026-08-16T01:44:15.496528500Z
Mobile Suit Zeta Gundam - S01E21_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,352,344,0,134293,3,2026-08-16T01:46:29.811990300Z
Mobile Suit Zeta Gundam - S01E22_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,377,361,0,137139,5,2026-08-16T01:48:46.964243900Z
Mobile Suit Zeta Gundam - S01E23_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,382,367,0,144607,4,2026-08-16T01:51:11.583506Z
Mobile Suit Zeta Gundam - S01E24_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,351,327,0,115095,2,2026-08-16T01:53:06.693269Z
Mobile Suit Zeta Gundam - S01E25_Track2.ass,Mobile Suit Zeta Gundam,Temporada Única,aya-expanse-8b,367,352,0,140729,4,2026-08-16T01:55:27.436793400Z
